time, pascal, temperature
      17023105,-112.051, 25.3298
      17033105,-112.051, 25.3298
      17043105,-112.051, 25.3298
      17053105, -106.79, 25.3298
      17063105,-112.051, 25.3298
      17073105,-112.051, 25.3298
      17083253,-112.051, 25.3298
      17093162,-112.051, 25.3298
      17103106,-112.051, 25.3298
      17113105,-112.051, 25.3298
      17123105,-112.051, 25.3298
      17133105,-112.051, 25.3298
      17143105,-112.051, 25.3298
      17153105,-112.051, 25.3298
      17163105,-112.051, 25.3298
      17173105,-112.051, 25.3298
      17183105,-112.051, 25.3298
      17193105,-112.051, 25.3298
      17203105,-112.051, 25.3298
      17213105,-112.051, 25.3298
      17223105,-112.051, 25.3298
      17233105,-112.051, 25.3298
      17243276,-112.051, 25.3298
      17253154,-112.051, 25.3298
      17263106,-112.051, 25.3298
      17273105,-112.051, 25.3298
      17283105,-112.051, 25.3298
      17293105,-112.051, 25.3298
      17303105,-112.051, 25.3298
      17313105,-112.051, 25.3298
      17323105,-112.051, 25.3298
      17333105,-112.051, 25.3298
      17343105,-112.051, 25.3298
      17353105,-112.051, 25.3298
      17363105,-117.311, 25.3298
      17373105,-112.051, 25.3298
      17383105,-112.051, 25.3298
      17393105,-112.051, 25.3298
      17403219,-112.051, 25.3298
      17413246,-112.051, 25.3298
      17423230,-112.051, 25.3298
      17433240,-112.051, 25.3298
      17443265,-112.051, 25.3298
      17453269,-112.051, 25.3298
      17463147,-112.051, 25.3298
      17473106,-112.051, 25.3298
      17483105,-112.051, 25.3298
      17493105, -106.79, 25.3298
      17503105,-112.051, 25.3298
      17513105,-112.051, 25.3298
      17523105,-112.051, 25.3298
      17533105,-112.051, 25.3298
      17543105,-112.051, 25.3298
      17553105,-112.051, 25.3298
      17563256,-112.051, 25.3298
      17573155,-112.051, 25.3298
      17583106,-112.051, 25.3298
      17593105, -106.79, 25.3298
      17603105, -106.79, 25.3298
      17613105, -106.79, 25.3298
      17623105, -106.79, 25.3298
      17633105, -101.53, 25.3298
      17643105, -106.79, 25.3298
      17653105, -106.79, 25.3298
      17663105, -106.79, 25.3298
      17673105, -106.79, 25.3298
      17683105, -106.79, 25.3298
      17693105,-112.051, 25.3298
      17703105,-112.051, 25.3298
      17713105, -106.79, 25.3298
      17723224,-112.051, 25.3298
      17733159,-112.051, 25.3298
      17743106, -106.79, 25.3298
      17753105,-112.051, 25.3298
      17763105,-112.051, 25.3298
      17773105,-112.051, 25.3298
      17783105,-112.051, 25.3298
      17793105,-112.051, 25.3298
      17803105,-112.051, 25.3298
      17813105,-112.051, 25.3298
      17823105,-112.051, 25.3298
      17833105,-112.051, 25.3298
      17843105,-112.051, 25.3298
      17853105,-112.051, 25.3298
      17863105,-112.051, 25.3298
      17873105,-112.051, 25.3298
      17883230,-112.051, 25.3298
      17893163,-112.051, 25.3298
      17903106,-112.051, 25.3298
      17913105,-112.051, 25.3298
      17923105,-112.051, 25.3298
      17933105,-112.051, 25.3298
      17943105, -106.79, 25.3298
      17953105, -106.79, 25.3298
      17963105,-112.051, 25.3298
      17973105, -106.79, 25.3298
      17983105,-112.051, 25.3298
      17993105,-112.051, 25.3298
      18003105,-112.051, 25.3298
      18013105, -106.79, 25.3298
      18023105,-112.051, 25.3298
      18033105,-112.051, 25.3298
      18043232,-112.051, 25.3298
      18053163,-112.051, 25.3298
      18063106,-112.051, 25.3298
      18073105,-112.051, 25.3298
      18083105,-112.051, 25.3298
      18093105,-112.051, 25.3298
      18103105,-112.051, 25.3298
      18113105,-112.051, 25.3298
      18123105,-112.051, 25.3298
      18133105,-112.051, 25.3298
      18143105,-112.051, 25.3298
      18153105, -106.79, 25.3298
      18163105,-112.051, 25.3298
      18173105,-112.051, 25.3298
      18183105,-112.051, 25.3298
      18193105,-112.051, 25.3298
      18203251, -106.79, 25.3298
      18213159, -106.79, 25.3298
      18223106, -101.53, 25.3298
      18233105, -106.79, 25.3298
      18243105, -106.79, 25.3298
      18253105, -106.79, 25.3298
      18263105, -106.79, 25.3298
      18273105, -106.79, 25.3298
      18283105, -106.79, 25.3298
      18293105, -106.79, 25.3298
      18303105, -106.79, 25.3298
      18313105, -106.79, 25.3298
      18323105, -106.79, 25.3298
      18333105, -106.79, 25.3298
      18343105, -106.79, 25.3298
      18353105, -106.79, 25.3298
      18363282, -106.79, 25.3298
      18373159, -106.79, 25.3298
      18383106, -106.79, 25.3298
      18393105, -106.79, 25.3298
      18403105, -106.79, 25.3298
      18413108,-112.051, 25.3298
      18423262,-112.051, 25.3298
      18433226,-112.051, 25.3298
      18443232,-112.051, 25.3298
      18453226, -106.79, 25.3298
      18463210,-112.051, 25.3298
      18473106,-117.311, 25.3298
      18483105,-112.051, 25.3298
      18493105,-112.051, 25.3298
      18503105,-112.051, 25.3298
      18513105, -106.79, 25.3298
      18523248, -106.79, 25.3298
      18533170, -101.53, 25.3298
      18543106, -106.79, 25.3298
      18553105, -106.79, 25.3298
      18563105, -106.79, 25.3298
      18573105,-112.051, 25.3298
      18583105, -106.79, 25.3298
      18593105, -106.79, 25.3298
      18603105, -106.79, 25.3298
      18613105,-112.051, 25.3298
      18623105,-112.051, 25.3298
      18633105,-112.051, 25.3298
      18643105,-112.051, 25.3298
      18653105,-112.051, 25.3298
      18663105,-112.051, 25.3298
      18673105,-112.051, 25.3298
      18683218, -106.79, 25.3298
      18693170,-112.051, 25.3298
      18703106, -106.79, 25.3298
      18713105,-112.051, 25.3298
      18723105,-112.051, 25.3298
      18733105,-112.051, 25.3298
      18743105,-112.051, 25.3298
      18753105,-112.051, 25.3298
      18763105, -106.79, 25.3298
      18773105,-112.051, 25.3298
      18783105,-112.051, 25.3298
      18793105,-112.051, 25.3298
      18803105,-112.051, 25.3298
      18813105,-112.051, 25.3298
      18823105, -106.79, 25.3298
      18833105,-112.051, 25.3298
      18843231, -106.79, 25.3298
      18853179, -106.79, 25.3298
      18863106,-112.051, 25.3298
      18873105, -106.79, 25.3298
      18883105, -106.79, 25.3298
      18893105,-112.051, 25.3298
      18903105,-112.051, 25.3298
      18913105, -106.79, 25.3298
      18923105,-112.051, 25.3298
      18933105,-112.051, 25.3298
      18943105,-112.051, 25.3298
      18953105,-112.051, 25.3298
      18963105,-112.051, 25.3298
      18973105,-112.051, 25.3298
      18983105,-112.051, 25.3298
      18993105,-112.051, 25.3298
      19003230, -106.79, 25.3298
      19013171,-112.051, 25.3298
      19023106,-112.051, 25.3298
      19033105,-112.051, 25.3298
      19043105, -106.79, 25.3298
      19053105,-112.051, 25.3298
      19063105,-112.051, 25.3298
      19073105,-112.051, 25.3298
      19083105,-112.051, 25.3298
